"Adobe After Effects 6.5 Keyframe Data
"
"   Unit Per Second   25"
"   Source Width   740"
"   Source Height   410"
"   Source Pixel Aspect Ratio   1"
"   Comp Pixel Aspect Ratio   1
"
"Position"
"   Frame   X pixels   Y pixels   Z pixels"
"   0   0.0   50.0   0.0"
"   1   0.233601   50.0   0.0"
"   2   0.9088   50.0   0.0"
"   3   1.9872   50.0   0.0"
"   4   3.4304   50.0   0.0"
"   5   5.2   50.0   0.0"
"   6   7.2576   50.0   0.0"
"   7   9.5648   50.0   0.0"
"   8   12.0832   50.0   0.0"
"   9   14.7744   50.0   0.0"
"   10   17.6   50.0   0.0"
"   11   20.5216   50.0   0.0"
"   12   23.5008   50.0   0.0"
"   13   26.4992   50.0   0.0"
"   14   29.4784   50.0   0.0"
"   15   32.4   50.0   0.0"
"   16   35.2256   50.0   0.0"
"   17   37.9168   50.0   0.0"
"   18   40.4352   50.0   0.0"
"   19   42.7424   50.0   0.0"
"   20   44.8   50.0   0.0"
"   21   46.5696   50.0   0.0"
"   22   48.0128   50.0   0.0"
"   23   49.0912   50.0   0.0"
"   24   49.7664   50.0   0.0"
"   25   50.0   50.0   0.0"
"   26   50.0   50.0   0.0"
"   27   50.0   50.0   0.0"
"   28   50.0   50.0   0.0"
"   29   50.0   50.0   0.0"
"   30   50.0   50.0   0.0"
"   31   50.0   50.0   0.0"
"   32   50.0   50.0   0.0"
"   33   50.0   50.0   0.0"
"   34   50.0   50.0   0.0"
"   35   50.0   50.0   0.0"
"   36   50.0   50.0   0.0"
"   37   50.0   50.0   0.0"
"   38   50.0   50.0   0.0"
"   39   50.0   50.0   0.0"
"   40   50.0   50.0   0.0"
"   41   50.0   50.0   0.0"
"   42   50.0   50.0   0.0"
"   43   50.0   50.0   0.0"
"   44   50.0   50.0   0.0"
"   45   50.0   50.0   0.0"
"   46   50.0   50.0   0.0"
"   47   50.0   50.0   0.0"
"   48   50.0   50.0   0.0"
"   49   50.0   50.0   0.0"
"   50   50.0   50.0   0.0"
"   51   50.0   50.0   0.0"
"   52   50.0   50.0   0.0"
"   53   50.0   50.0   0.0"
"   54   50.0   50.0   0.0"
"   55   50.0   50.0   0.0"
"   56   50.0   50.0   0.0"
"   57   50.0   50.0   0.0"
"   58   50.0   50.0   0.0"
"   59   50.0   50.0   0.0"
"   60   50.0   50.0   0.0"
"   61   50.0   50.0   0.0"
"   62   50.0   50.0   0.0"
"   63   50.0   50.0   0.0"
"   64   50.0   50.0   0.0"
"   65   50.0   50.0   0.0"
"   66   50.0   50.0   0.0"
"   67   50.0   50.0   0.0"
"   68   50.0   50.0   0.0"
"   69   50.0   50.0   0.0"
"   70   50.0   50.0   0.0"
"   71   50.0   50.0   0.0"
"   72   50.0   50.0   0.0"
"   73   50.0   50.0   0.0"
"   74   50.0   50.0   0.0"
"   75   50.0   50.0   0.0"
"   76   50.0   50.0   0.0"
"   77   50.0   50.0   0.0"
"   78   50.0   50.0   0.0"
"   79   50.0   50.0   0.0"
"   80   50.0   50.0   0.0"
"   81   50.0   50.0   0.0"
"   82   50.0   50.0   0.0"
"   83   50.0   50.0   0.0"
"   84   50.0   50.0   0.0"
"   85   50.0   50.0   0.0"
"   86   50.0   50.0   0.0"
"   87   50.0   50.0   0.0"
"   88   50.0   50.0   0.0"
"   89   50.0   50.0   0.0"
"   90   50.0   50.0   0.0"
"   91   50.0   50.0   0.0"
"   92   50.0   50.0   0.0"
"   93   50.0   50.0   0.0"
"   94   50.0   50.0   0.0"
"   95   50.0   50.0   0.0"
"   96   50.0   50.0   0.0"
"   97   50.0   50.0   0.0"
"   98   50.0   50.0   0.0"
"   99   50.0   50.0   0.0"
"   100   50.0   50.0   0.0"
"

End of Keyframe Data"
